,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy,hyperparam_l2_regularization,model_hrnet18,model_pcb,hyperparam_dropout,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter
energy_gpu_util_max_percent,0.02,0.0,0.0,0.19000001,0.38000003,0.15,0.01,0.04,0.07,0.22,0.0,0.01,0.0,0.0,0.26000002,0.0,0.0,0.19000001,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_mnist_ff,0.04,0.02,0.01,0.17999999,0.15,0.120000005,0.01,0.120000005,0.080000006,0.34999996,0.18,0.0,0.3,0.31,0.42000002,0.01,0.0,0.38000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_mnist_rnn,0.0,0.0,0.0,0.3,0.2,0.22,0.01,0.26,0.15,0.32,0.15,0.25,0.0,0.08,0.02,0.01,0.0,0.030000001,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_siamese,0.030000001,0.030000001,0.01,0.15,0.25,0.16999999,0.04,0.13,0.07,0.26,0.120000005,0.2,0.080000006,0.0,0.16,0.0,0.01,0.0,0.14000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_batch_size,0.0,0.0,0.0,0.0,0.030000001,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_learning_rate,0.16,0.13,0.14000002,0.060000002,0.060000002,0.13,0.14000002,0.060000002,0.13000001,0.07000001,0.01,0.19,0.13000001,0.2,0.060000002,0.0,0.14,0.0,0.07000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_epochs,0.13000001,0.15,0.22,0.14,0.07,0.41000003,0.24000001,0.05,0.09,0.1,0.04,0.15,0.13000001,0.34,0.030000001,0.21999998,0.0,0.05,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_seed,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perf_test_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.030000001,0.02,0.0,0.0,0.08,0.030000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_l2_regularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.030000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_hrnet18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_pcb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_dropout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_kfold,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_max_iter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
