,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,hyperparam_l2_regularization,model_hrnet18,model_pcb,hyperparam_dropout,perf_map,perf_rank1,perf_rank5,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter
hyperparam_epochs,0.17142858,0.24761908,0.20000002,0.20000002,0.19047622,0.05714286,0.86666673,0.08571429,0.104761906,0.15238096,0.15238096,0.0,0.0,0.0,0.0,0.03809524,0.0,0.7238096,0.0,0.0952381,0.02857143,0.17142858,0.04761905,0.03809524,0.04761905,0.0,0.0,0.0
hyperparam_seed,0.01904762,0.00952381,0.03809524,0.0,0.0,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_l2_regularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_hrnet18,0.07619048,0.13333334,0.1809524,0.04761905,0.057142857,0.06666667,0.37142858,0.0952381,0.03809524,0.057142857,0.08571429,0.0,0.0,0.0,0.0,0.123809524,0.0,0.2952381,0.0,0.0,0.02857143,0.13333334,0.057142857,0.16190477,0.12380953,0.0,0.0,0.0
model_pcb,0.06666667,0.10476191,0.104761906,0.0,0.114285715,0.28571433,0.31428573,0.02857143,0.02857143,0.10476191,0.05714286,0.0,0.0,0.0,0.0,0.01904762,0.00952381,0.00952381,0.0,0.15238096,0.0,0.0,0.14285716,0.1809524,0.1904762,0.0,0.0,0.0
hyperparam_dropout,0.04761905,0.01904762,0.05714286,0.0,0.0,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761905,0.0,0.00952381,0.0,0.0,0.0,0.0,0.02857143,0.057142857,0.104761906,0.0,0.0,0.0
perf_map,0.00952381,0.047619052,0.01904762,0.00952381,0.02857143,0.0,0.00952381,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20952383,0.0,0.00952381,0.0,0.0,0.02857143,0.02857143,0.0,0.26666668,0.21904764,0.0,0.0,0.0
perf_rank1,0.07619048,0.05714286,0.04761905,0.0,0.03809524,0.0,0.00952381,0.00952381,0.01904762,0.057142857,0.02857143,0.0,0.0,0.0,0.0,0.0952381,0.0,0.00952381,0.0,0.12380953,0.104761906,0.01904762,0.37142858,0.0,0.32380956,0.0,0.0,0.0
perf_rank5,0.05714286,0.03809524,0.02857143,0.0,0.02857143,0.0,0.0,0.0,0.0,0.01904762,0.0,0.0,0.0,0.0,0.0,0.07619048,0.0,0.0,0.0,0.057142857,0.114285715,0.00952381,0.34285712,0.33333334,0.0,0.0,0.0,0.0
hyperparam_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_kfold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_max_iter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
